Player,Age,Yrs,Games_Played,Minutes_Played,Field_Goals,Field_Goals_Attempted,3_Point_Goals,3_Point_Attempted,Free_Throws,Free_Throws_Attempted,Offensive_Rebounds,Total_Rebounds,Assists,Steals,Blocks,Turnovers,Personal_Fouls,Points,Field_Goal_Percentage,3_Point_FG_Percentage,Free_Throw_Percentage,Minutes_Played_PG,Points_PG,Rebounds_PG,Assists_PG,All_Star
JuaquinHawkins,29,1,58,685,57,148,10,24,10,20,16,78,47,29,6,29,57,134,0.385,0.417,0.5,11.8,2.3,1.3,0.8,0
NenêHilário,20,17,965,25237,4175,7621,7,53,2552,3864,1688,5828,1719,1041,721,1688,2934,10909,0.548,0.132,0.66,26.2,11.3,6,1.8,0
NateHuffman,27,1,7,76,9,25,0,0,5,8,9,23,5,1,3,3,13,23,0.36,,0.625,10.9,3.3,3.3,0.7,0
RyanHumphrey,23,3,85,772,78,227,0,3,41,76,86,189,18,20,19,48,113,197,0.344,0,0.539,9.1,2.3,2.2,0.2,0
CaseyJacobsen,21,4,287,5320,476,1210,209,594,327,425,118,516,304,121,24,210,372,1488,0.393,0.352,0.769,18.5,5.2,1.8,1.1,0
MarkoJarić,24,7,447,11246,1190,2944,289,840,524,718,274,1200,1600,583,128,708,967,3193,0.404,0.344,0.73,25.2,7.1,2.7,3.6,0
ChrisJefferies,22,2,72,861,102,266,35,96,42,63,21,88,29,23,23,64,92,281,0.383,0.365,0.667,12,3.9,1.2,0.4,0
JaredJeffries,21,11,629,13579,1163,2728,73,292,604,1036,1166,2563,798,435,323,674,1529,3003,0.426,0.25,0.583,21.6,4.8,4.1,1.3,0
KenJohnson,24,1,16,156,15,37,0,0,2,6,4,32,0,1,12,6,20,32,0.405,,0.333,9.8,2,2,0,0
FredJones,23,7,430,10299,1090,2651,346,979,680,841,157,958,990,336,115,511,831,3206,0.411,0.353,0.809,24,7.5,2.2,2.3,0
SeanLampley,23,2,45,550,69,149,0,4,65,94,28,94,33,7,4,28,45,203,0.463,0,0.691,12.2,4.5,2.1,0.7,0
TitoMaddox,21,1,9,35,3,12,0,3,5,8,1,7,5,3,1,3,4,11,0.25,0,0.625,3.9,1.2,0.8,0.6,0
RogerMason,22,10,518,9147,1196,2933,594,1549,303,350,78,897,677,189,75,370,709,3289,0.408,0.383,0.866,17.7,6.3,1.7,1.3,0
YaoMing*,22,8,486,15818,3380,6445,2,10,2485,2984,1233,4494,769,189,920,1311,1596,9247,0.524,0.2,0.833,32.5,19,9.2,1.6,1
RonaldMurray,23,8,487,11077,1806,4360,328,1079,877,1210,192,1006,1096,404,100,742,795,4817,0.414,0.304,0.725,22.7,9.9,2.1,2.3,0
BoštjanNachbar,22,6,317,5628,744,1834,325,867,439,560,126,836,283,135,84,280,698,2252,0.406,0.375,0.784,17.8,7.1,2.6,0.9,0
MehmetOkur,23,10,634,18429,3028,6615,596,1590,1909,2396,1261,4436,1089,329,453,991,1815,8561,0.458,0.375,0.797,29.1,13.5,7,1.7,1
ChrisOwens,23,1,1,6,2,3,0,0,0,0,1,1,0,0,0,1,0,4,0.667,,,6,4,1,0,0
JanneroPargo,23,11,499,7449,1228,3140,400,1124,319,369,112,701,986,250,28,560,648,3175,0.391,0.356,0.864,14.9,6.4,1.4,2,0
SmushParker,21,5,274,7069,908,2129,289,838,364,514,119,659,791,336,44,496,606,2469,0.426,0.345,0.708,25.8,9,2.4,2.9,0
TayshaunPrince,22,14,1017,31576,4583,10082,569,1550,1537,2033,1125,4332,2406,571,500,1064,1251,11272,0.455,0.367,0.756,31,11.1,4.3,2.4,0
IgorRakočević,24,1,42,244,22,58,5,12,29,36,4,17,33,4,0,23,25,78,0.379,0.417,0.806,5.8,1.9,0.4,0.8,0
EfthimiRentzias,27,1,35,144,20,59,4,8,8,9,10,26,7,6,2,4,21,52,0.339,0.5,0.889,4.1,1.5,0.7,0.2,0
AntoineRigaudeau,31,1,11,91,8,35,1,5,0,0,4,8,6,3,0,6,11,17,0.229,0.2,,8.3,1.5,0.7,0.5,0
GuyRucker,25,1,3,4,0,0,0,0,0,0,0,1,1,0,0,0,1,0,,,,1.3,0,0.3,0.3,0
KareemRush,22,7,346,5956,876,2189,288,805,173,246,104,572,353,150,74,298,459,2213,0.4,0.358,0.703,17.2,6.4,1.7,1,0
JohnSalmons,23,13,895,23672,3007,6979,726,1986,1552,1942,435,2603,2183,756,239,1185,1667,8292,0.431,0.366,0.799,26.4,9.3,2.9,2.4,0
JamalSampson,19,5,72,631,53,108,0,1,36,67,80,242,26,9,32,33,91,142,0.491,0,0.537,8.8,2,3.4,0.4,0
PredragSavović,26,1,27,256,29,93,4,26,21,29,9,25,22,14,1,21,33,83,0.312,0.154,0.724,9.5,3.1,0.9,0.8,0
PaulShirley,25,3,18,121,15,38,0,1,3,7,9,19,7,1,1,10,12,33,0.395,0,0.429,6.7,1.8,1.1,0.4,0
TamarSlay,22,3,66,517,73,202,13,49,14,26,24,70,31,26,4,39,71,173,0.361,0.265,0.538,7.8,2.6,1.1,0.5,0
Amar'eStoudemire,20,14,846,26254,5911,11009,30,127,4142,5444,2029,6632,1050,636,1054,1953,2685,15994,0.537,0.236,0.761,31,18.9,7.8,1.2,1
CezaryTrybański,23,2,22,101,5,24,0,0,5,12,6,15,1,1,7,10,16,15,0.208,,0.417,4.6,0.7,0.7,0,0
NikolozTskitishvili,19,4,172,1946,190,626,43,183,84,115,109,307,114,46,50,126,227,507,0.304,0.235,0.73,11.3,2.9,1.8,0.7,0
DajuanWagner,19,4,103,2202,354,967,92,287,164,213,29,142,195,69,14,136,212,964,0.366,0.321,0.77,21.4,9.4,1.4,1.9,0
JiříWelsch,23,4,247,4596,516,1280,118,344,369,491,120,602,375,187,15,262,394,1519,0.403,0.343,0.752,18.6,6.1,2.4,1.5,0
ChrisWilcox,20,11,628,12474,2101,3884,0,18,948,1474,970,3076,455,322,246,705,1517,5150,0.541,0,0.643,19.9,8.2,4.9,0.7,0
MikeWilks,23,7,233,2240,217,540,34,106,123,166,57,228,271,82,10,117,215,591,0.402,0.321,0.741,9.6,2.5,1,1.2,0
FrankWilliams,22,3,86,952,92,261,24,80,45,54,13,77,166,34,11,83,87,253,0.352,0.3,0.833,11.1,2.9,0.9,1.9,0
JayWilliams,21,1,75,1961,273,685,65,202,103,161,27,195,350,86,17,171,179,714,0.399,0.322,0.64,26.1,9.5,2.6,4.7,0
QyntelWoods,21,4,167,2060,281,621,35,98,94,156,107,385,105,71,28,138,226,691,0.452,0.357,0.603,12.3,4.1,2.3,0.6,0
VincentYarbrough,21,1,59,1381,168,428,21,78,49,62,36,162,130,57,33,81,145,406,0.393,0.269,0.79,23.4,6.9,2.7,2.2,0
MalikAllen,23,10,478,7262,1039,2365,3,16,253,325,466,1353,228,130,220,320,897,2334,0.439,0.188,0.778,15.2,4.9,2.8,0.5,0
ChrisAndersen,23,15,695,12273,1336,2512,15,68,1068,1632,1176,3493,337,312,991,513,1342,3755,0.532,0.221,0.654,17.7,5.4,5,0.5,0
GilbertArenas,20,11,552,19351,3722,8850,1079,3077,2879,3584,444,2168,2909,884,134,1744,1683,11402,0.421,0.351,0.803,35.1,20.7,3.9,5.3,1
BrandonArmstrong,21,3,108,699,101,287,25,75,12,20,22,63,24,22,4,37,83,239,0.352,0.333,0.6,6.5,2.2,0.6,0.2,0
CarlosArroyo,22,9,569,10651,1431,3269,137,405,771,956,210,965,1761,290,26,680,874,3770,0.438,0.338,0.806,18.7,6.6,1.7,3.1,0
MengkeBateer,26,3,46,494,61,156,5,15,29,39,39,114,27,11,5,40,118,156,0.391,0.333,0.744,10.7,3.4,2.5,0.6,0
ShaneBattier,23,13,977,30004,2982,6819,1250,3254,1194,1606,1273,4082,1717,988,906,878,2208,8408,0.437,0.384,0.743,30.7,8.6,4.2,1.8,0
CharlieBell,22,7,376,9368,1192,2891,438,1213,382,497,180,814,857,303,31,362,750,3204,0.412,0.361,0.769,24.9,8.5,2.2,2.3,0
RubenBoumtje-Boumtje,23,3,44,276,14,38,0,0,15,27,22,57,6,4,17,14,40,43,0.368,,0.556,6.3,1,1.3,0.1,0
MichaelBradley,22,5,173,2016,218,457,2,14,45,88,223,591,93,25,47,113,200,483,0.477,0.143,0.511,11.7,2.8,3.4,0.5,0
JamisonBrewer,21,4,54,468,35,94,8,32,11,28,15,50,56,19,2,32,34,89,0.372,0.25,0.393,8.7,1.6,0.9,1,0
PrimožBrezec,22,8,342,6192,1012,2034,1,6,427,609,563,1327,179,69,134,274,730,2452,0.498,0.167,0.701,18.1,7.2,3.9,0.5,0
DamoneBrown,22,4,39,351,43,128,4,14,18,27,18,52,19,5,7,31,44,108,0.336,0.286,0.667,9,2.8,1.3,0.5,0
ErnestBrown,22,1,3,21,1,6,0,0,1,4,1,6,0,0,1,3,4,3,0.167,,0.25,7,1,2,0,0
KedrickBrown,20,4,143,1935,203,501,46,168,57,89,98,347,103,85,28,64,170,509,0.405,0.274,0.64,13.5,3.6,2.4,0.7,0
KwameBrown,19,12,607,13389,1518,3088,1,9,998,1750,1085,3333,554,324,376,771,1385,4035,0.492,0.111,0.57,22.1,6.6,5.5,0.9,0
TierreBrown,22,4,134,1654,202,526,30,85,93,121,41,166,266,64,4,143,95,527,0.384,0.353,0.769,12.3,3.9,1.2,2,0
TysonChandler,19,19,1160,31617,3558,5964,0,11,2393,3714,3529,10467,967,630,1335,1656,3268,9509,0.597,0,0.644,27.3,8.2,9,0.8,1
SpeedyClaxton,23,7,334,8548,1126,2753,42,218,802,1053,194,830,1441,503,40,580,827,3096,0.409,0.193,0.762,25.6,9.3,2.5,4.3,0
JarronCollins,23,10,542,8542,682,1500,0,5,731,1046,645,1579,419,138,98,334,1316,2095,0.455,0,0.699,15.8,3.9,2.9,0.8,0
JasonCollins,23,13,735,14974,918,2234,7,34,778,1202,915,2706,626,368,359,605,2056,2621,0.411,0.206,0.647,20.4,3.6,3.7,0.9,0
JoeCrispin,22,1,21,156,26,68,15,39,12,13,2,11,26,5,0,10,10,79,0.382,0.385,0.923,7.4,3.8,0.5,1.2,0
EddyCurry,19,11,527,13109,2578,4734,2,2,1662,2588,947,2725,287,155,384,1174,1562,6820,0.545,1,0.642,24.9,12.9,5.2,0.5,0
SamuelDalembert,20,13,886,21646,2810,5393,1,12,1193,1689,2289,6942,465,437,1546,1271,2601,6814,0.521,0.083,0.706,24.4,7.7,7.8,0.5,0
DeSaganaDiop,20,12,601,8403,503,1177,1,6,178,381,834,2219,270,227,630,355,1219,1185,0.427,0.167,0.467,14,2,3.7,0.4,0
PredragDrobnjak,26,4,278,5542,903,2125,66,194,315,394,313,973,225,132,117,242,512,2187,0.425,0.34,0.799,19.9,7.9,3.5,0.8,0
MauriceEvans,23,9,562,10918,1429,3231,426,1172,463,590,559,1384,420,294,88,278,956,3747,0.442,0.363,0.785,19.4,6.7,2.5,0.7,0
IsaacFontaine,26,1,6,75,3,14,1,5,4,6,0,5,4,0,0,4,6,11,0.214,0.2,0.667,12.5,1.8,0.8,0.7,0
AltonFord,20,3,73,524,70,138,0,0,46,66,35,124,11,6,8,37,115,186,0.507,,0.697,7.2,2.5,1.7,0.2,0
JosephForte,20,2,25,125,11,47,0,6,8,10,5,17,17,6,0,13,7,30,0.234,0,0.8,5,1.2,0.7,0.7,0
AntonisFotsis,20,1,28,320,42,104,7,23,17,20,25,62,10,9,11,21,22,108,0.404,0.304,0.85,11.4,3.9,2.2,0.4,0
TremaineFowlkes,25,4,103,1233,105,257,4,20,87,110,94,228,54,47,6,50,146,301,0.409,0.2,0.791,12,2.9,2.2,0.5,0
PauGasol,21,18,1226,41001,7980,15729,179,486,4755,6311,3085,11305,3925,606,1941,2638,2632,20894,0.507,0.368,0.753,33.4,17,9.2,3.2,1
EddieGriffin,19,5,303,6729,854,2263,237,752,226,337,497,1744,236,105,518,227,506,2171,0.377,0.315,0.671,22.2,7.2,5.8,0.8,0
TangHamilton,23,1,9,98,10,19,0,1,0,1,6,18,5,4,0,2,10,20,0.526,0,0,10.9,2.2,2,0.6,0
TrentonHassell,22,9,644,16278,1549,3480,95,299,548,716,541,1826,1132,282,272,597,1399,3741,0.445,0.318,0.765,25.3,5.8,2.8,1.8,0
KirkHaston,22,2,27,134,13,56,0,6,6,12,5,27,8,0,6,10,19,32,0.232,0,0.5,5,1.2,1,0.3,0
BrendanHaywood,22,13,816,18680,2110,3999,0,4,1318,2246,2081,4875,442,320,1109,851,2043,5538,0.528,0,0.587,22.9,6.8,6,0.5,0
StevenHunter,20,8,400,5993,735,1313,0,1,347,715,482,1264,79,49,422,249,656,1817,0.56,0,0.485,15,4.5,3.2,0.2,0
MikeJames,26,12,595,14364,2139,5132,687,1813,898,1120,212,1324,2075,458,38,895,1201,5863,0.417,0.379,0.802,24.1,9.9,2.2,3.5,0
RichardJefferson,21,17,1181,34293,5150,11102,1042,2769,3562,4639,917,4720,2412,787,347,1768,2637,14904,0.464,0.376,0.768,29,12.6,4,2,0
JoeJohnson,20,17,1276,44234,7822,17719,1978,5331,2783,3468,1067,5059,5001,1071,260,2451,2252,20405,0.441,0.371,0.802,34.7,16,4,3.9,1
AlvinJones,23,1,23,126,8,20,0,0,10,20,13,36,3,3,9,11,35,26,0.4,,0.5,5.5,1.1,1.6,0.1,0
AndreiKirilenko,20,13,797,23916,3146,6637,367,1185,2772,3675,1400,4352,2169,1097,1461,1518,1605,9431,0.474,0.31,0.754,30,11.8,5.5,2.7,1
TerenceMorris,23,3,139,1934,209,514,22,112,32,45,123,377,93,35,49,81,126,472,0.407,0.196,0.711,13.9,3.4,2.7,0.7,0
TroyMurphy,21,12,729,19921,2848,6400,613,1578,1551,1977,1373,5708,1088,478,294,886,1890,7860,0.445,0.388,0.785,27.3,10.8,7.8,1.5,0
DeanOliver,23,2,35,232,24,75,3,19,13,17,8,24,44,10,0,21,25,64,0.32,0.158,0.765,6.6,1.8,0.7,1.3,0
TonyParker,19,18,1254,38279,7777,15830,519,1603,3400,4525,441,3396,7036,1053,98,2865,2059,19473,0.491,0.324,0.751,30.5,15.5,2.7,5.6,1
VladimirRadmanović,21,12,737,16164,2148,5177,971,2567,612,807,654,2784,998,537,263,837,1552,5879,0.415,0.378,0.758,21.9,8,3.8,1.4,0
ZachRandolph,20,17,1116,34616,7436,15774,199,729,3507,4592,3279,10208,2049,834,301,2290,2629,18578,0.471,0.273,0.764,31,16.6,9.1,1.8,1
ŽeljkoRebrača,29,5,215,3280,488,926,0,0,300,379,196,688,88,57,160,203,512,1276,0.527,,0.792,15.3,5.9,3.2,0.4,0
JasonRichardson,21,13,857,29241,5558,12681,1608,4344,1920,2714,1033,4245,2284,995,367,1503,1963,14644,0.438,0.37,0.707,34.1,17.1,5,2.7,0
NormRichardson,22,1,11,67,10,26,4,8,6,9,3,8,2,0,0,3,5,30,0.385,0.5,0.667,6.1,2.7,0.7,0.2,0
JerylSasser,22,2,82,1061,67,221,13,44,57,83,67,191,67,48,12,41,94,204,0.303,0.295,0.687,12.9,2.5,2.3,0.8,0
KennySatterfield,20,2,75,1062,128,382,12,55,53,71,33,95,176,51,3,96,79,321,0.335,0.218,0.746,14.2,4.3,1.3,2.3,0
BrianScalabrine,23,11,520,6772,590,1512,180,523,234,299,275,1034,436,157,121,341,819,1594,0.39,0.344,0.783,13,3.1,2,0.8,0
AnsuSesay,25,4,127,1301,161,371,8,29,71,111,102,223,62,38,30,58,162,401,0.434,0.276,0.64,10.2,3.2,1.8,0.5,0
BobbySimmons,21,10,466,11513,1551,3552,378,955,709,862,559,1791,710,396,83,522,1153,4189,0.437,0.396,0.823,24.7,9,3.8,1.5,0
LeonSmith,21,2,15,104,11,28,0,0,11,17,11,33,3,5,1,3,13,33,0.393,,0.647,6.9,2.2,2.2,0.2,0
WillSolomon,23,2,115,1584,218,576,74,248,74,107,24,132,225,62,11,116,147,584,0.378,0.298,0.692,13.8,5.1,1.1,2,0
EtanThomas,23,9,409,7084,890,1734,0,0,561,930,677,1927,149,128,427,385,889,2341,0.513,,0.603,17.3,5.7,4.7,0.4,0
JamaalTinsley,23,11,547,14443,1759,4481,397,1326,737,1029,345,1605,3330,776,155,1375,1306,4652,0.393,0.299,0.716,26.4,8.5,2.9,6.1,0
ÓscarTorres,25,2,82,1184,151,377,44,139,96,125,50,134,43,29,11,57,73,442,0.401,0.317,0.768,14.4,5.4,1.6,0.5,0
JeffTrepagnier,22,3,31,270,34,101,6,13,14,20,17,43,22,19,4,25,20,88,0.337,0.462,0.7,8.7,2.8,1.4,0.7,0
RatkoVarda,22,1,1,6,2,3,0,0,1,1,0,1,0,0,0,1,3,5,0.667,,1,6,5,1,0,0
GeraldWallace,19,14,832,24731,3516,7492,407,1303,2494,3517,1145,4838,1725,1200,681,1486,1829,9933,0.469,0.312,0.709,29.7,11.9,5.8,2.1,1
EarlWatson,22,13,878,19494,2112,5139,502,1551,867,1233,462,1985,3871,873,176,1548,1755,5593,0.411,0.324,0.703,22.2,6.4,2.3,4.4,0
RodneyWhite,21,4,218,3354,617,1455,91,290,215,287,113,485,237,118,65,285,309,1540,0.424,0.314,0.749,15.4,7.1,2.2,1.1,0
LorenWoods,23,6,215,2428,208,496,1,7,138,215,263,682,74,55,128,138,278,555,0.419,0.143,0.642,11.3,2.6,3.2,0.3,0
CourtneyAlexander,23,3,187,4067,655,1552,41,121,339,417,124,409,227,111,18,203,377,1690,0.422,0.339,0.813,21.7,9,2.2,1.2,0
DaliborBagarić,20,3,95,973,97,269,0,2,57,102,84,238,37,29,43,72,163,251,0.361,0,0.559,10.2,2.6,2.5,0.4,0
ErickBarkley,22,2,27,266,32,90,4,15,9,10,5,21,40,19,1,17,31,77,0.356,0.267,0.9,9.9,2.9,0.8,1.5,0
RajaBell,24,12,706,19813,2581,5949,956,2357,880,1101,408,1968,1208,484,130,695,1840,6998,0.434,0.406,0.799,28.1,9.9,2.8,1.7,0
MarkBlount,25,9,605,13981,2020,4011,37,103,864,1195,895,2784,513,327,508,933,1554,4941,0.504,0.359,0.723,23.1,8.2,4.6,0.8,0
BrianCardinal,23,12,456,6477,664,1628,243,653,537,624,286,1050,465,295,69,330,890,2108,0.408,0.372,0.861,14.2,4.6,2.3,1,0
MateenCleaves,23,6,167,1863,233,599,12,45,131,180,33,175,310,67,5,201,213,609,0.389,0.267,0.728,11.2,3.6,1,1.9,0
JasonCollier,23,5,151,2178,338,743,7,20,158,214,175,443,51,36,32,120,295,841,0.455,0.35,0.738,14.4,5.6,2.9,0.3,0
SeanColson,25,1,13,44,6,24,1,5,2,4,2,6,10,1,0,2,6,15,0.25,0.2,0.5,3.4,1.2,0.5,0.8,0
JamalCrawford,20,19,1326,38988,6750,16463,2220,6377,3694,4286,466,2948,4538,1179,271,2476,2007,19414,0.41,0.348,0.862,29.4,14.6,2.2,3.4,0
KeyonDooling,20,13,728,14134,1810,4356,446,1277,1001,1253,132,964,1601,463,75,803,1221,5067,0.416,0.349,0.799,19.4,7,1.3,2.2,0
KhalidEl-Amin,21,1,50,936,115,311,28,84,56,72,21,81,145,48,2,54,99,314,0.37,0.333,0.778,18.7,6.3,1.6,2.9,0
MarcusFizer,22,6,289,6032,1103,2536,21,110,555,803,375,1340,352,134,81,428,648,2782,0.435,0.191,0.691,20.9,9.6,4.6,1.2,0
RubénGarcés,27,1,13,73,7,22,0,0,2,8,16,29,5,3,2,5,14,16,0.318,,0.25,5.6,1.2,2.2,0.4,0
EddieGill,22,7,187,2033,179,496,63,197,150,177,28,207,217,104,14,139,209,571,0.361,0.32,0.847,10.9,3.1,1.1,1.2,0
SteveGoodrich,24,2,21,183,9,28,1,3,5,9,8,26,11,3,3,11,24,24,0.321,0.333,0.556,8.7,1.1,1.2,0.5,0
A.J.Guyton,22,3,80,1246,166,440,73,193,37,45,22,80,147,20,12,62,58,442,0.377,0.378,0.822,15.6,5.5,1,1.8,0
ZendonHamilton,25,6,134,1560,176,400,0,0,233,353,184,464,33,39,28,108,215,585,0.44,,0.66,11.6,4.4,3.5,0.2,0
JasonHart,22,9,341,5289,614,1473,64,203,331,420,76,567,774,253,34,275,528,1623,0.417,0.315,0.788,15.5,4.8,1.7,2.3,0
DonnellHarvey,20,5,205,3318,453,985,1,10,243,369,261,827,161,97,80,209,464,1150,0.46,0.1,0.659,16.2,5.6,4,0.8,0
EddieHouse,22,11,717,12405,2078,5077,817,2096,383,450,164,1223,1112,470,58,569,927,5356,0.409,0.39,0.851,17.3,7.5,1.7,1.6,0
MarcJackson,26,7,387,7572,1194,2680,7,31,843,1036,630,1655,311,147,102,467,775,3238,0.446,0.226,0.814,19.6,8.4,4.3,0.8,0
StephenJackson,22,14,858,27398,4604,11112,1252,3763,2516,3154,674,3328,2634,1109,317,2141,2043,12976,0.414,0.333,0.798,31.9,15.1,3.9,3.1,0
DerMarrJohnson,20,7,344,5930,770,1872,274,815,307,389,192,769,304,198,149,349,598,2121,0.411,0.336,0.789,17.2,6.2,2.2,0.9,0
GarthJoseph,27,1,4,16,1,5,0,0,0,2,2,2,1,0,1,2,1,2,0.2,,0,4,0.5,0.5,0.3,0
DanLanghi,23,4,133,1253,172,440,11,38,38,62,54,199,39,30,12,35,106,393,0.391,0.289,0.613,9.4,3,1.5,0.3,0
ArtLong,28,3,98,1220,148,323,2,3,47,97,130,319,48,27,42,85,220,345,0.458,0.667,0.485,12.4,3.5,3.3,0.5,0
MarkMadsen,25,9,453,5335,381,834,1,16,212,402,559,1157,181,116,102,206,866,975,0.457,0.063,0.527,11.8,2.2,2.6,0.4,0
JamaalMagloire,22,12,680,14621,1763,3675,0,7,1391,2176,1418,4408,386,224,603,998,1792,4917,0.48,0,0.639,21.5,7.2,6.5,0.6,1
KenyonMartin,23,15,757,23134,3875,8031,66,282,1509,2398,1312,5159,1439,893,864,1318,2498,9325,0.483,0.234,0.629,30.6,12.3,6.8,1.9,1
DesmondMason,23,10,643,19641,2931,6535,66,254,1839,2485,804,2863,1049,441,230,1032,1432,7767,0.449,0.26,0.74,30.5,12.1,4.5,1.6,0
DanMcClintock,23,1,6,58,9,18,0,0,0,5,10,17,1,0,2,3,11,18,0.5,,0,9.7,3,2.8,0.2,0
PaulMcPherson,22,1,55,595,109,216,2,12,42,58,40,79,38,25,4,47,80,262,0.505,0.167,0.724,10.8,4.8,1.4,0.7,0
StanislavMedvedenko,21,7,263,3340,590,1311,2,13,208,281,335,744,136,88,42,159,518,1390,0.45,0.154,0.74,12.7,5.3,2.8,0.5,0
ChrisMihm,21,8,436,8758,1253,2731,3,13,753,1069,865,2302,223,128,444,535,1264,3262,0.459,0.231,0.704,20.1,7.5,5.3,0.5,0
DariusMiles,19,7,446,11730,1874,3973,22,131,737,1250,575,2190,840,384,495,892,1023,4507,0.472,0.168,0.59,26.3,10.1,4.9,1.9,0
MikeMiller,20,17,1032,27812,4016,8747,1590,3910,1351,1757,632,4376,2666,573,229,1561,2043,10973,0.459,0.407,0.769,26.9,10.6,4.2,2.6,0
JérômeMoïso,22,5,145,1392,158,323,0,3,70,118,126,395,38,45,68,104,183,386,0.489,0,0.593,9.6,2.7,2.7,0.3,0
HannoMöttölä,24,2,155,2360,292,661,1,16,130,166,130,442,75,31,28,137,337,715,0.442,0.063,0.783,15.2,4.6,2.9,0.5,0
MamadouN'Diaye,25,5,69,858,85,199,0,1,92,125,88,225,8,17,64,40,146,262,0.427,0,0.736,12.4,3.8,3.3,0.1,0
LeeNailon,25,6,306,5820,1121,2366,1,9,379,482,379,936,298,133,53,320,596,2622,0.474,0.111,0.786,19,8.6,3.1,1,0
EduardoNájera,24,12,619,11213,1204,2505,110,354,534,796,897,2307,493,446,231,402,1378,3052,0.481,0.311,0.671,18.1,4.9,3.7,0.8,0
IraNewble,26,8,380,7645,782,1753,85,249,281,361,403,1114,342,204,105,289,695,1930,0.446,0.341,0.778,20.1,5.1,2.9,0.9,0
OlumideOyedeji,19,3,93,587,50,101,0,0,27,41,61,196,11,16,15,30,106,127,0.495,,0.659,6.3,1.4,2.1,0.1,0
AndyPanko,23,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,0,0,0,0
MikePenberthy,26,2,56,863,93,224,55,139,31,35,10,65,73,24,2,34,57,272,0.415,0.396,0.886,15.4,4.9,1.2,1.3,0
MorrisPeterson,23,11,711,19366,2747,6567,1009,2702,1125,1456,569,2483,1090,639,136,716,1606,7628,0.418,0.373,0.773,27.2,10.7,3.5,1.5,0
ChrisPorter,22,1,51,1147,173,445,0,5,94,141,89,189,61,45,6,59,111,440,0.389,0,0.667,22.5,8.6,3.7,1.2,0
LavorPostell,22,3,61,446,59,176,11,44,66,83,11,45,13,12,2,35,28,195,0.335,0.25,0.795,7.3,3.2,0.7,0.2,0
JoelPrzybilla,21,13,592,11733,896,1624,0,3,501,900,1112,3665,256,157,836,574,1604,2293,0.552,0,0.557,19.8,3.9,6.2,0.4,0
MichaelRedd,21,12,629,20104,4207,9405,1045,2751,2513,2998,622,2411,1338,579,66,963,1002,11972,0.447,0.38,0.838,32,19,3.8,2.1,1
QuentinRichardson,20,13,783,20785,2923,7360,1167,3288,1019,1420,933,3666,1138,607,148,868,1529,8032,0.397,0.355,0.718,26.5,10.3,4.7,1.5,0
TerranceRoberson,24,1,3,13,0,2,0,1,0,0,0,1,1,0,0,2,3,0,0,0,,4.3,0,0.3,0.3,0
JamalRobinson,27,1,6,72,3,22,0,2,0,0,3,11,2,6,0,3,7,6,0.136,0,,12,1,1.8,0.3,0
SoumailaSamake,22,2,47,303,28,72,0,0,12,26,32,76,5,2,19,6,36,68,0.389,,0.462,6.4,1.4,1.6,0.1,0
PepeSánchez,23,2,38,187,9,33,0,1,2,2,7,21,49,16,1,8,24,20,0.273,0,1,4.9,0.5,0.6,1.3,0
DanielSantiago,24,4,122,1418,153,326,0,0,111,162,76,260,38,39,47,85,231,417,0.469,,0.685,11.6,3.4,2.1,0.3,0
JabariSmith,23,4,108,1063,125,303,1,8,78,113,49,178,66,37,26,54,166,329,0.413,0.125,0.69,9.8,3,1.6,0.6,0
MikeSmith,24,1,17,180,19,59,3,18,10,16,10,22,10,5,3,7,8,51,0.322,0.167,0.625,10.6,3,1.3,0.6,0
DeShawnStevenson,19,13,824,18396,2238,5515,550,1617,904,1296,410,1832,1355,423,134,814,1140,5930,0.406,0.34,0.698,22.3,7.2,2.2,1.6,0
StromileSwift,21,9,547,10804,1713,3623,2,27,1154,1650,885,2535,275,354,683,690,1357,4582,0.473,0.074,0.699,19.8,8.4,4.6,0.5,0
DraganTarlać,27,1,43,598,39,99,0,0,25,33,37,122,31,7,19,38,95,103,0.394,,0.758,13.9,2.4,2.8,0.7,0
JakeTsakalidis,21,7,315,5005,580,1184,0,1,337,513,436,1238,101,73,223,268,689,1497,0.49,0,0.657,15.9,4.8,3.9,0.3,0
HedoTürkoğlu,21,15,997,26695,3851,9034,1246,3246,2074,2645,647,3971,2832,750,299,1578,2403,11022,0.426,0.384,0.784,26.8,11.1,4,2.8,0
DavidVanterpool,27,1,22,411,46,110,0,6,30,50,15,37,66,23,3,37,44,122,0.418,0,0.6,18.7,5.5,1.7,3,0
JakeVoskuhl,23,9,450,6443,673,1381,1,3,467,654,562,1539,237,148,166,340,1166,1814,0.487,0.333,0.714,14.3,4,3.4,0.5,0
RubénWolkowyski,27,2,41,329,27,83,0,3,26,38,12,47,4,6,18,13,41,80,0.325,0,0.684,8,2,1.1,0.1,0
WangZhizhi,23,5,137,1256,213,511,70,182,108,147,56,231,39,25,35,68,155,604,0.417,0.385,0.735,9.2,4.4,1.7,0.3,0
RaferAlston,23,11,671,19392,2450,6391,996,2815,903,1238,247,1891,3202,813,105,1195,1408,6799,0.383,0.354,0.729,28.9,10.1,2.8,4.8,0
